1 4 7 2 4 9 9 4 11 6 1 1 3 11 3 2 9 6 7 4 4 11 5 3 9 9 10 2 9 4 
7 11 3 11 11 3 7 10 3 1 7 4 6 4 8 9 4 5 1 2 9 9 6 5 10 1 7 3 6 9 
3 5 4 1 6 2 3 7 7 8 4 5 7 8 4 4 10 9 6 1 8 7 8 1 5 10 8 1 3 10 
2 9 5 10 5 7 5 11 1 4 6 7 8 6 5 3 6 3 10 9 2 8 4 4 8 7 4 10 8 1 
4 6 9 3 3 10 2 8 5 9 3 8 11 1 6 5 2 11 4 10 7 1 2 2 7 11 9 8 11 3 
10 8 10 4 1 1 11 6 8 3 8 2 2 7 7 11 1 8 11 3 6 6 1 6 2 3 5 7 4 8 
6 2 8 8 8 8 4 9 10 10 5 11 5 9 2 10 3 10 8 11 11 3 10 8 11 2 3 6 10 6 
9 10 6 9 9 5 1 3 6 7 2 9 4 5 9 6 7 4 9 8 5 10 11 9 4 5 11 9 2 11 
11 7 1 6 7 6 10 5 2 2 11 10 1 3 10 8 8 2 3 6 3 4 7 10 3 6 1 5 1 5 
5 1 11 7 2 11 8 1 9 11 10 3 10 10 11 1 5 1 5 5 1 5 9 7 1 4 6 11 5 2 
8 3 2 5 10 4 6 2 4 5 9 6 9 2 1 7 11 7 2 7 10 2 3 11 6 8 2 4 7 7 
